r0,r1,r2,E
3.15,0.97,2.2475528089280385,-150.65524
3.3,0.97,2.382625153607441,-150.65524
3.1,0.97,2.1840036997740984,-150.65523
3.25,0.97,2.3466973952256938,-150.65523
3.2,0.97,2.304586878961052,-150.65522
3.15,0.97,2.2550689533831494,-150.65521
3.3,0.97,2.3892754031975145,-150.65521
3.1,0.97,2.190817928911096,-150.6552
3.25,0.97,2.3541251837670627,-150.6552
3.2,0.97,2.3124204224494043,-150.65519
3.1,0.97,2.1980095793696957,-150.65518
3.15,0.97,2.2629490481178123,-150.65518
3.3,0.97,2.396296347006861,-150.65518
3.25,0.97,2.3619140598135333,-150.65517
3.35,0.97,2.4323158179185667,-150.65517
3.1,0.97,2.205572779652875,-150.65516
3.2,0.97,2.3206104180377567,-150.65516
2.4,0.97,2.4109113043674597,-150.6551542
3.15,0.97,2.2711869173794565,-150.65515
3.3,0.97,2.403682607794376,-150.65515
3.35,0.97,2.4389291484166224,-150.65514
3.1,0.97,2.2135014295440487,-150.65513
3.2,0.97,2.329150624336989,-150.65513
3.25,0.97,2.370058102860591,-150.65513
3.15,0.97,2.2797761874233093,-150.65512
3.3,0.97,2.411428589390242,-150.65512
3.05,0.97,2.134388564702539,-150.65511
3.35,0.97,2.445911629760527,-150.65511
3.1,0.97,2.221789214809953,-150.6551
3.25,0.97,2.3785511970433606,-150.6551
3.05,0.97,2.1412484113167993,-150.65509
3.15,0.97,2.2887103007047735,-150.65509
3.2,0.97,2.3380346168881356,-150.65509
3.4,0.97,2.482018906775459,-150.65509
3.1,0.97,2.230429621986612,-150.65508
3.3,0.97,2.4195284890996662,-150.65508
3.35,0.97,2.4532579923807525,-150.65508
2.2,0.97,2.7165641793815793,-150.6550747
3.05,0.97,2.1484875128986842,-150.65507
3.15,0.97,2.297982530035001,-150.65506
3.2,0.97,2.3472558017725156,-150.65506
3.25,0.97,2.387387044235258,-150.65506
3.4,0.97,2.488596759153201,-150.65506
3.05,0.97,2.15609985579955,-150.65505
3.1,0.97,2.2394159531755204,-150.65505
3.3,0.97,2.4279763102352185,-150.65505
3.35,0.97,2.4609627501269458,-150.65505
2.4,0.97,2.754869630758086,-150.6550471
3.05,0.97,2.1640791951335276,-150.65503
3.25,0.97,2.3965591771461434,-150.65503
3.4,0.97,2.495542269431068,-150.65503
3.1,0.97,2.248741340780971,-150.65502
3.15,0.97,2.3075859926379843,-150.65502
3.2,0.97,2.356807429145724,-150.65502
3.35,0.97,2.4690202121883664,-150.65502
3.05,0.97,2.172419070164883,-150.65501
3.3,0.97,2.436765874719497,-150.65501
3.4,0.97,2.5028502702612685,-150.655
3.05,0.97,2.1811128197615814,-150.65499
3.1,0.97,2.2583987621236394,-150.65499
3.15,0.97,2.317513664051582,-150.65499
3.2,0.97,2.3666826066405213,-150.65499
3.25,0.97,2.4060609723641506,-150.65499
3.45,0.97,2.531733688420809,-150.65499
1.4,0.97,1.1923340055954061,-150.6549813
3.3,0.97,2.4458908357022127,-150.65498
3.35,0.97,2.4774244951502453,-150.65498
3.4,0.97,2.5105153800158537,-150.65497
3.45,0.97,2.5382774214690174,-150.65497
3.05,0.97,2.1901535978378113,-150.65496
3.1,0.97,2.2683810538700966,-150.65496
3.15,0.97,2.3277583918192377,-150.65496
3.25,0.97,2.415885663288673,-150.65496
3.2,0.97,2.376874312587566,-150.65495
3.35,0.97,2.486169535130818,-150.65495
3.05,0.97,2.1995343887124674,-150.65494
3.3,0.97,2.455344690138508,-150.65494
3.45,0.97,2.5451873676483108,-150.65494
3.1,0.97,2.278680926222703,-150.65493
3.4,0.97,2.5185320142544256,-150.65493
3.15,0.97,2.3383129089236743,-150.65492
3.25,0.97,2.426026352905578,-150.65492
3.05,0.97,2.2092480223153173,-150.65491
3.2,0.97,2.3873754090070927,-150.65491
3.35,0.97,2.4952490999458825,-150.65491
3.1,0.97,2.2892909768193324,-150.6549
3.3,0.97,2.4651207912783364,-150.6549
3.4,0.97,2.5268943973339026,-150.6549
3.45,0.97,2.552458456765511,-150.6549
3.05,0.97,2.219287189177603,-150.65489
3.15,0.97,2.3491698469185134,-150.65489
3.5,0.97,2.581459487301479,-150.65489
3.2,0.97,2.3981786543288703,-150.65488
3.25,0.97,2.4364760263594767,-150.65488
3.1,0.97,2.300203704297442,-150.65487
3.3,0.97,2.4752123610199726,-150.65487
3.35,0.97,2.5046568012501855,-150.65487
3.45,0.97,2.5600854065987555,-150.65487
3.05,0.97,2.2296444551491668,-150.65486
3.4,0.97,2.5355965741078963,-150.65486
3.5,0.97,2.587970383719835,-150.65486
2.5,0.97,2.681585351988633,-150.6548525
