1.3	0.97	27
1.3	0.97	112
1.3	0.97	101
1.4	0.97	27
1.4	0.97	101
1.3	0.97	123
1.4	0.97	112
1.3	0.97	90
1.2	0.97	27
1.4	0.97	90
1.2	0.97	112
1.4	0.97	123
1.2	0.97	101
1.2	0.97	123
1.5	0.97	27
1.3	0.97	133
1.3	0.97	37
1.5	0.97	101
1.5	0.97	90
1.5	0.97	112
1.3	0.97	18
1.4	0.97	79
1.4	0.97	18
1.4	0.97	37
1.4	0.97	133
1.3	0.97	79
1.2	0.97	133
1.2	0.97	37
1.2	0.97	90
1.5	0.97	123
1.5	0.97	79
1.2	0.97	18
1.3	0.97	143
1.6	0.97	27
1.6	0.97	101
1.6	0.97	90
1.5	0.97	18
1.6	0.97	112
1.4	0.97	68
1.4	0.97	143
1.5	0.97	133
1.2	0.97	143
1.6	0.97	79
1.5	0.97	37
1.5	0.97	68
1.7	0.97	27
1.6	0.97	123
1.7	0.97	101
1.7	0.97	90
1.3	0.97	68
1.2	0.97	79
1.7	0.97	112
1.3	0.97	153
1.7	0.97	79
1.6	0.97	18
1.8	0.97	90
1.6	0.97	68
1.8	0.97	101
1.1	0.97	112
1.1	0.97	27
1.1	0.97	123
1.8	0.97	79
1.9	0.97	90
1.8	0.97	112
1.9	0.97	101
1.5	0.97	143
1.7	0.97	123
1.9	0.97	79
2	0.97	90
1.4	0.97	153
1.6	0.97	133
2	0.97	101
1.9	0.97	112
2	0.97	79
1.7	0.97	18
2.1	0.97	90
1.7	0.97	68
2.1	0.97	101
1.3	0.97	9
2.1	0.97	79
2.2	0.97	90
1.2	0.97	153
2	0.97	112
2.2	0.97	101
2.2	0.97	79
2.3	0.97	90
2.3	0.97	79
2.3	0.97	101
2.1	0.97	112
2.4	0.97	90
3.2	0.97	18
3.15	0.97	18
3.25	0.97	18
3.1	0.97	18
3.3	0.97	18
2.4	0.97	79
3.35	0.97	18
2.2	0.97	112
3.05	0.97	18
2.4	0.97	101
3.4	0.97	18
1.4	0.97	57
3.15	0.97	27
3.2	0.97	27
3.45	0.97	18
3.1	0.97	27
3.25	0.97	27
3.3	0.97	27
3.05	0.97	27
2.5	0.97	90
3.5	0.97	18
2.5	0.97	79
3.35	0.97	27
2.3	0.97	112
3.4	0.97	27
1.8	0.97	123
1.8	0.97	68
2.5	0.97	101
3.45	0.97	27
3.1	0.97	37
2.3	0.97	68
3.15	0.97	37
3.05	0.97	37
3.2	0.97	37
2.4	0.97	68
2.2	0.97	68
2.4	0.97	112
3.25	0.97	37
3.5	0.97	27
2.5	0.97	68
3.3	0.97	37
2.1	0.97	68
3.35	0.97	37
3.4	0.97	37
2.9	0.97	27
2.9	0.97	18
3.05	0.97	47
2.5	0.97	112
3.1	0.97	47
2.9	0.97	9
2.9	0.97	37
3.15	0.97	47
3.45	0.97	37
2.7	0.97	79
2	0.97	68
2.7	0.97	68
3.2	0.97	47
2.9	0.97	47
2.7	0.97	90
3.25	0.97	47
3.5	0.97	37
1.9	0.97	68
